feature,mean_abs_shap
suicide,0.08167228427104037
to,0.0797896544693186
adhd,0.06597273980554887
ptsd,0.06433526793616054
you,0.04332004889623551
ocd,0.03587560675460037
and,0.03412072092620782
anxiety,0.03032481886286691
was,0.029331547655597364
die,0.028726326864111293
life,0.028017325175767493
want,0.02622694140175112
myself,0.02596989130371671
please,0.024348813988206996
want to,0.023643812664531527
is,0.020545827474505163
depression,0.020110145698439403
that,0.019356376609041298
to die,0.017109154031694218
in,0.016736779989413236
self,0.016715107463335165
panic,0.014718305382257452
kill,0.014276836771208957
suicidal,0.013878339684885355
post,0.013841852304554356
